name,postcode,Latitude,Longitude
Aberdeen Arts Centre,AB24 5AA,,
Aberdeen Sports Village,AB24 5RU,,
Aberdeen Synagogue and Jewish Community Centre,AB11 6DS,,
Aberdeen Town House,AB11 5BU,,
Airyhall Community Centre,AB15 8AD,57.13211697,-2.14973686
Airyhall Library,AB15 7RF,,
Alex Collie Sports Centre,AB22 8PE,,
Altens Community Centre,AB12 3SE,57.10718642,-2.08561618
Balgownie Community Centre,AB23 8HX,57.17831475,-2.09684651
Balnagask Community Centre,AB11 8HX,,
Beach Leisure Centre,AB24 5NR,,
Beacon Sports Centre,AB21 9DG,,
Bridge of Don Community Centre,AB22 8RR,,
Bridge of Don Library,AB22 8HH,,
Bridges Centre,AB11 5RW,,
Bucksburn Library,AB21 9DG,,
Cairncry Community Centre,AB16 5HL,57.15986584,-2.14174853
Catherine Street Community Centre,AB25 1EU,57.15341635,-2.10496314
Central Library,AB25 1GW,,
Citizens Advice Aberdeen,AB11 5BN,,
Community Campus,AB24 2UY,,
Cornhill Community Centre,AB16 5BL,,
Cornhill Library,AB16 5UT,,
Cove Library,AB12 3HE,,
Culter Library,AB14 0UJ,,
Culter Village Hall,AB14 0UD,,
Cults Community Centre,AB15 9RG,,
Cults Kirk Centre,AB15 9TD,,
Cults Leisure Centre,AB15 9TP,,
Cults Library,AB15 9SX,,
Cummings Park Centre,AB16 7AS,,
Danestone Community Centre,AB22 8ZP,57.18258917,-2.13692269
Dunbar Street Hall,AB24 3UJ,,
Dyce Community Centre,AB21 7BD,,
Dyce Development and Amenities Committee,AB21 7AY,57.20510194,-2.19076768
Dyce Library,AB21 7BD,,
Ferryhill Community Centre,AB11 6TN,57.13826824,-2.10819156
Ferryhill Library,AB11 6UP,,
Froghall Community Centre and Lilypad Cafe,AB25 3TX,,
Hanover Community Centre,AB24 5EX,57.15157923,-2.08758673
Hilton Community Centre,AB24 4HS,57.16751598,-2.12820232
Hilton Sports Centre,AB24 4NQ,,
Inchgarth Community Centre,AB10 7DR,57.12220987,-2.13275223
James Tyrrell Centre,AB16 6TR,,
Jesmond Leisure Centre,AB22 8UR,,
Kaimhill Library,AB10 7HR,,
Kincorth Community Centre,AB12 5NA,57.12083562,-2.10411105
Kincorth Library,AB12 5NA,,
Kincorth Sports Centre,AB12 5BB,,
Kingswells Community Centre,AB15 8TG,57.15681726,-2.22404279
Kingswells Village Hall,AB15 8AW,,
Lochside Sports Complex,AB12 3JG,,
Loirston Annexe Community Centre,AB12 3NX,57.09876192,-2.0832035
Manor Park Community Centre,AB16 7YB,,
Masjid Alhikmah and Community Centre,AB24 5ER,,
Mastrick Community Centre,AB16 6TR,57.1562373,-2.16338938
Mastrick Library,AB16 6TR,,
Middleton Park Community Centre,AB22 8WD,,
Mile End Community Centre,AB15 5LQ,,
Millitimber Community Hall,AB13 0JY,,
Northfield Community Centre,AB16 7LL,57.16594056,-2.16214255
Northfield Leisure Centre,AB16 5TL,,
Northfield Library,AB16 7LL,,
Old Torry Community Centre,AB11 9QH,57.13725753,-2.07821793
Peterculter Sports Centre,AB14 0RQ,,
Portal Community Centre,AB24 2TW,,
Powis Community Centre,AB24 3YX,57.16462257,-2.11026934
Rosehill Day Centre,AB16 5EH,,
Rosemount Community Education Centre,AB25 2NS,,
Ruthrieston Community Centre,AB10 7LL,57.1286202,-2.11840453
Seaton Community Centre,AB24 3NJ,,
Sheddocksley Community Centre,AB16 6WF,57.15606994,-2.18059666
Sheddocksley Leisure Centre,AB16 6QJ,,
Star Community,AB24 1UX,,
Summerhill Community Centre,AB15 6JA,,
Sunnybank Community Centre,AB24 3NG,,
The Hub,AB16 7UR,,
Tillydrone Community Centre,AB24 2QT,,
Tillydrone Library,AB24 2UY,,
Torry Library,AB11 9NJ,,
Torry Sports Centre,AB11 8ER,,
Torry Youth and Leisure Centre,AB11 8ER,,
Tullos Community Centre,AB11 8FJ,,
Westburn Sports Centre,AB25 3DE,,
Woodside Learning Centre,AB24 2QY,,
Woodside Library,AB24 4DX,,