2011 scottish intermediate zone,Total
S02001928 : Alexandra Parade,55
S02001935 : Anderston,580
S02001970 : Anniesland East,120
S02001971 : Anniesland West,165
S02001901 : Baillieston East,230
S02001900 : Baillieston West,45
S02001919 : Balornock,30
S02001908 : Barlanark,260
S02001920 : Barmulloch,50
S02001867 : Battlefield,165
S02001917 : Blackhill and Barmulloch East,60
S02001972 : Blairdardie East,50
S02001973 : Blairdardie West,80
S02001896 : Braidfauld,185
S02001892 : Bridgeton,105
S02001959 : Broomhill,145
S02001891 : Calton and Gallowgate,235
S02001851 : Cardonald North,40
S02001850 : Cardonald South and East,100
S02001852 : Cardonald West and Central,130
S02001879 : Carmunnock North,55
S02001880 : Carmunnock South,115
S02001898 : Carmyle and Mount Vernon South,75
S02001913 : Carntyne,55
S02001929 : Carntyne West and Haghill,130
S02001875 : Carnwadric East,35
S02001874 : Carnwadric West,55
S02001883 : Castlemilk,45
S02001886 : Cathcart,130
S02001905 : Central Easterhouse,35
S02001932 : City Centre East,1165
S02001934 : City Centre South,3770
S02001933 : City Centre West,1050
S02001924 : Cowlairs and Port Dundas,350
S02001915 : Craigend and Ruchazie,110
S02001857 : Craigton,90
"S02001914 : Cranhill, Lightburn and Queenslie South",75
S02001847 : Crookston North,30
S02001846 : Crookston South,45
S02001893 : Dalmarnock,120
S02001842 : Darnley East,135
S02001843 : Darnley North,105
S02001844 : Darnley West,95
S02001930 : Dennistoun,140
S02001927 : Dennistoun North,150
S02001957 : Dowanhill,235
S02001975 : Drumchapel North,40
S02001974 : Drumchapel South,105
S02001855 : Drumoyne and Shieldhall,310
S02001976 : Drumry East,85
S02001977 : Drumry West,40
S02001904 : Easterhouse East,35
S02001936 : Finnieston and Kelvinhaugh,605
S02001939 : Firhill,145
S02001931 : Gallowgate North and Bellgrove,150
S02001903 : Garrowhill East and Swinton,165
S02001902 : Garrowhill West,130
"S02001906 : Garthamlock, Auchinlea and Gartloch",175
S02001954 : Glasgow Harbour and Partick South,180
S02001882 : Glenwood North,135
S02001881 : Glenwood South,45
S02001889 : Gorbals and Hutchesontown,185
S02001856 : Govan and Linthouse,320
S02001866 : Govanhill East and Aikenhead,115
S02001865 : Govanhill West,210
S02001909 : Greenfield,85
S02001953 : Hillhead,335
S02001854 : Hillington,45
S02001859 : Ibrox,235
S02001860 : Ibrox East and Cessnock,270
S02001950 : Kelvindale,175
S02001952 : Kelvingrove and University,370
S02001958 : Kelvinside and Jordanhill,205
S02001940 : Keppochhill,145
S02001885 : Kingspark North,75
S02001884 : Kingspark South,80
S02001862 : Kingston West and Dumbreck,255
S02001861 : Kinning Park and Festival Park,310
S02001967 : Knightswood East,45
S02001969 : Knightswood Park East,40
S02001968 : Knightswood Park West,30
S02001966 : Knightswood West,25
S02001872 : Langside,95
S02001890 : Laurieston and Tradeston,595
S02001947 : Maryhill East,35
S02001948 : Maryhill West,60
S02001869 : Maxwell Park,195
S02001877 : Merrylee and Millbrae,95
S02001944 : Milton East,35
S02001943 : Milton West,105
S02001858 : Mosspark,65
S02001887 : Mount Florida,140
S02001899 : Mount Vernon North and Sandyhills,105
S02001878 : Muirend and Old Cathcart,155
S02001876 : Newlands,125
S02001845 : Nitshill,230
S02001907 : North Barlanark and Easterhouse South,70
S02001951 : North Kelvin,125
S02001912 : Old Shettleston and Parkhead North,130
S02001895 : Parkhead East and Braidfauld North,55
S02001894 : Parkhead West and Barrowfield,600
S02001955 : Partick,90
S02001956 : Partickhill and Hyndland,185
S02001853 : Penilee,50
S02001921 : Petershill,75
S02001849 : Pollok North and East,80
S02001848 : Pollok South and West,110
S02001873 : Pollokshaws,150
S02001864 : Pollokshields East,240
S02001863 : Pollokshields West,190
S02001942 : Possil Park,130
S02001916 : Riddrie and Hogganfield,90
S02001918 : Robroyston and Millerston,160
"S02001926 : Roystonhill, Blochairn, and Provanmill",125
S02001941 : Ruchill,195
S02001962 : Scotstoun North and East,70
S02001963 : Scotstoun South and West,165
S02001871 : Shawlands East,150
S02001870 : Shawlands West,225
S02001910 : Shettleston North,155
S02001897 : Shettleston South,290
S02001925 : Sighthill,80
S02001922 : Springburn,135
S02001923 : Springburn East and Cowlairs,60
S02001868 : Strathbungo,585
S02001945 : Summerston Central and West,70
S02001946 : Summerston North,125
S02001911 : Tollcross,70
S02001888 : Toryglen and Oatlands,165
S02001960 : Victoria Park,45
S02001961 : Whiteinch,115
S02001937 : Woodlands,820
S02001938 : Woodside,210
S02001949 : Wyndford,75
S02001965 : Yoker North,30
S02001964 : Yoker South,110