Area code,Area name,All Ages
S12000033,Aberdeen City,"229,060"
S12000034,Aberdeenshire,"260,780"
S12000041,Angus,"115,820"
S12000035,Argyll and Bute,"85,430"
S12000036,City of Edinburgh,"527,620"
S12000005,Clackmannanshire,"51,290"
S12000006,Dumfries and Galloway,"148,290"
S12000042,Dundee City,"148,820"
S12000008,East Ayrshire,"121,600"
S12000045,East Dunbartonshire,"108,750"
S12000010,East Lothian,"107,900"
S12000011,East Renfrewshire,"96,060"
S12000014,Falkirk,"160,560"
S12000047,Fife,"374,130"
S12000049,Glasgow City,"635,640"
S12000017,Highland,"235,430"
S12000018,Inverclyde,"77,060"
S12000019,Midlothian,"93,150"
S12000020,Moray,"95,710"
S12000013,Na h-Eileanan Siar,"26,500"
S12000021,North Ayrshire,"134,250"
S12000050,North Lanarkshire,"341,140"
S12000023,Orkney Islands,"22,400"
S12000048,Perth and Kinross,"151,910"
S12000038,Renfrewshire,"179,390"
S12000026,Scottish Borders,"115,240"
S12000027,Shetland Islands,"22,870"
S12000028,South Ayrshire,"112,140"
S12000029,South Lanarkshire,"320,820"
S12000030,Stirling,"94,080"
S12000039,West Dunbartonshire,"88,340"
S12000040,West Lothian,"183,820"